customer_id,name,gender,age,job_type,income,expenses,credit_history,existing_loans,financing_type,asset_type,asset_value,down_payment,installment_period
1,Ahmed,Female,50,Self-employed,20877,6819,Good,0,Ijarah,Car,384033,24298,84
2,Mariam,Female,29,Private,5202,10839,Good,0,Ijarah,Car,409155,17081,72
3,Ali,Male,58,Private,11597,4694,Average,37176,Ijarah,House,355136,48576,300
4,Ahmed,Male,59,Self-employed,16002,4869,Average,0,Murabaha,House,462726,32661,180
5,Mohammed,Male,45,Private,24970,11048,Good,0,Murabaha,Car,364601,15613,72
6,Khadijah,Male,36,Private,3924,5154,Average,0,Murabaha,Car,289217,11869,60
7,Aisha,Female,50,Government,20551,3941,Average,0,Murabaha,Equipment,370217,35877,48
8,Aisha,Male,49,Self-employed,19012,3433,Good,42848,Ijarah,Car,440699,17786,48
9,Mariam,Female,41,Self-employed,11769,4531,Average,0,Ijarah,Car,172992,49804,36
10,Mohammed,Male,27,Self-employed,8859,6347,Good,0,Ijarah,Car,291190,31905,48
11,Ali,Male,49,Self-employed,21609,1910,Good,14165,Ijarah,Equipment,453874,32808,36
12,Aisha,Male,21,Private,19183,7669,Good,48259,Murabaha,Equipment,403211,42700,36
13,Sarah,Male,22,Self-employed,13888,5000,Good,7371,Murabaha,House,243977,48138,240
14,Mohammed,Male,28,Government,3753,6138,Good,42824,Ijarah,House,200264,40357,180
15,Fatimah,Female,44,Private,3116,6995,Poor,0,Ijarah,Equipment,192946,49465,12
16,Ahmed,Male,56,Self-employed,12197,3178,Good,0,Ijarah,House,91437,19354,300
17,Sarah,Male,21,Government,12204,4177,Good,0,Ijarah,House,257854,47389,240
18,Aisha,Male,21,Self-employed,15278,13862,Average,18650,Murabaha,Car,402748,36946,72
19,Sarah,Female,25,Government,3655,8256,Good,0,Ijarah,Equipment,217936,26018,12
20,Ali,Female,29,Government,7178,13654,Average,0,Murabaha,Equipment,317110,27202,24
21,Fatimah,Female,37,Government,4504,5930,Good,0,Ijarah,Equipment,226591,8686,48
22,Ahmed,Female,21,Government,9762,3390,Average,0,Ijarah,Car,430391,562,36
23,Fatimah,Male,25,Government,14373,13247,Average,0,Murabaha,Equipment,254136,10646,48
